bigram,score
fast track,-15.13234024806599
philippin war,-15.0852922673548
american caucus,-15.075475087995015
benefit farmer,-15.0591409549986
public war,-15.0419871539459
armor factori,-14.9775205834147
pass comprehens,-14.969952924797465
silver dollar,-14.937096682098304
partialbirth abort,-14.924396748452583
buy consum,-14.914059219617169
protect prevail,-14.8806971698634
gun owner,-14.8537068306434
human right,-14.844006240076128
elect poll,-14.8404510378203
food tabl,-14.836071476608742
pair shoe,-14.8309579226679
dens pack,-14.8081963166092
one ear,-14.7879725940115
philippin peopl,-14.7837436459387
tradit medicar,-14.7797816893903
support troop,-14.743232838842589
target tax,-14.724709084108
prescript medic,-14.6978843228322
privileg immun,-14.681952722025486
nuclear option,-14.6612876511455
cash plan,-14.6444982185573
pariti incom,-14.634987675471
presid aristid,-14.632940771393457
philippin island,-14.627705164373452
end shutdown,-14.5970824109581
program expens,-14.5797287743241
communistfront organ,-14.5705103234207
popular vote,-14.56127434970725
fals advertis,-14.5237326042996
member tribe,-14.5205633464627
concili servic,-14.478793036043147
school section,-14.4768112109173
assist commission,-14.4266283856577
illeg voter,-14.3911788517606
pay proper,-14.3665489891917
uniform throughout,-14.3246055034216
air act,-14.321005753688532
save loan,-14.31298665181404
asset currenc,-14.311748007551035
subject peopl,-14.3045864048261
public shoot,-14.2841076258016
high interest,-14.239056631176272
ever member,-14.1768633863444
santa monica,-14.159157658881469
full faith,-14.1587583832207
road highway,-14.1495094549757
american watch,-14.138725135838435
nuclear war,-14.131542299315216
extrem weather,-14.129163629120354
nativ american,-14.128080466104446
foreign born,-14.117174194209793
class american,-14.1098101625882
pacif railroad,-14.084342197740094
belong peopl,-14.0585121169724
elect unit,-14.0473813484265
wave length,-14.028347700846483
coastwis vessel,-13.966686779415074
respons redeploy,-13.9571853372824
manufactur powder,-13.947394801700279
recogn independ,-13.899559293304899
reorgan plan,-13.896534057559862
get sick,-13.894385203579477
associ insur,-13.88358544136
chang cours,-13.880091150115708
help farmer,-13.85202553739228
court nomine,-13.8451890873848
privat util,-13.828787086219718
war afghanistan,-13.79542012690848
electr light,-13.792906838237126
serv iraq,-13.7745602952796
nafta pass,-13.75226347388
abm system,-13.7513997967921
right act,-13.747689523221231
naval station,-13.731122133439346
vote clean,-13.7214237510033
hour divis,-13.71623132949529
past war,-13.713642290402
high tariff,-13.710048325393737
legisl honor,-13.6961014669099
privat plan,-13.690368267555087
schoollunch program,-13.672832366122071
two light,-13.6555543408501
elig regist,-13.6380592799638
real secur,-13.6375041161443
emerg fund,-13.6325785864205
overtim pay,-13.625368401192555
better natur,-13.6107686966134
come togeth,-13.576387810994294
check system,-13.564327157132
compet reauthor,-13.54181911362615
offic crew,-13.5145166153957
invest infrastructur,-13.508251669061753
stem educ,-13.50181885598426
take properti,-13.4947563139337
backup center,-13.4587307082808
weather event,-13.4572124756606
project surplus,-13.43414995067625
attack women,-13.419090923530614
final payment,-13.417072365841
fiscal conserv,-13.4163907248785
medic leav,-13.414479781654075
pension sarah,-13.4105043909052
dixony contract,-13.3962755370168
citizen state,-13.383281105854962
redeploy troop,-13.360777673401605
hors meat,-13.359075716005
reduc salari,-13.3520781700484
unus quota,-13.3074239289687
tip oneil,-13.304560295233
right thing,-13.299081976475684
special privileg,-13.29206183698621
put food,-13.29156506771496
nationalorigin claus,-13.284812475121312
right bill,-13.2694108945358
weapon system,-13.252748603617885
naval prison,-13.244953206581602
speedway hospit,-13.2377640886822
rural hospit,-13.237341575457549
soldier bonus,-13.224250553180566
combust dust,-13.2012903072511
exist cuba,-13.199634210462
gender ident,-13.1856768551811
treati cession,-13.1608576974744
boko haram,-13.15731415125379
drug coverag,-13.142414762190688
steam sail,-13.1290737927751
